Topic,Subtopic,Tweet,Hashtag,Emojis
Health and Fitness,Health and Fitness/Disease Centres and Information,"@UKRunChat @macmillancancer Thank you, 35.55 miles left and 9 days to do it. 🙂 I can't believe I've run everyday for 9 days! Haha.",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @realbuzzcom: Enter our Facebook #giveaway and you could #win a Fitbit Blaze watch. 
Click to enter &gt;&gt;&gt; https://t.co/5N5VeU01FQ https://t.co/g88PyVzDne","giveaway,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"@realbuzzcom Enter our Facebook #giveaway and you could #win a Fitbit Blaze watch. 
Click to enter &gt;&gt;&gt; https://t.co/WiwLiOljqd","giveaway,win",
Health and Fitness,Health and Fitness/Dental Care,RT @WhiteWashLabs: It’s #WhiteWashWednesday &amp; this time we’re giving away this remineralising toothpaste &amp; toothbrush set – RT to #WIN https://t.co/jnjVlMwOFO,"WhiteWashWednesday,WIN",
Health and Fitness,Health and Fitness/Dental Care,@WhiteWashLabs awesome RT thanks #WhiteWashWednesday  #WIN,"WhiteWashWednesday,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #competition #giveaway. Follow &amp; RT to enter. #realbuzzWin #fitfam https://t.co/D3bb05tu5u,"Win,running,competition,giveaway,realbuzzWin,fitfam",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: It's #giveaway time! Follow &amp; RT @SalveoUK to #win this 6 pack of gorgeous wine glasses! Ends 25/05/2016 23:59 https://t.co/Zark5pMmtZ,"giveaway,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@SalveoUK Fantastic giveaway. Following and retweeted. Thank you! x,,
Health and Fitness,Health and Fitness/Dental Care,RT @WhiteWashLabs: It’s #WhiteWashWednesday &amp; this time we’re giving away this remineralising toothpaste &amp; toothbrush set – RT to #WIN https://t.co/jnjVlMwOFO,"WhiteWashWednesday,WIN",
Health and Fitness,Health and Fitness/Dental Care,@WhiteWashLabs Fantastic giveaway. Following and retweeted. Thank you! x,,
Health and Fitness,Health and Fitness/Disease Centres and Information,@FormerScChief @macmillancancer That's amazing! 👍🏼 How are you getting on??,,1
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win our May #competition and get Nike #running shoes. RT &amp; Follow to enter our #prize #giveaway #realbuzzWin https://t.co/z8AWcCpUNX,"Win,competition,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @MuscleFoodUK: RE-TWEET - For a Chance to WIN A MONTH'S supply of the THE BEST protein bars in the country  https://t.co/eDTNL8ZAMr https://t.co/oBTrlHbw7h,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @UKTeam_Optimum: 300 Followers to go! #RT &amp; follow for your chance to #win our Gold Standard stack! #Giveaway #GoldBCAA https://t.co/m0kVf803S3,"RT,win,Giveaway,GoldBCAA",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @feelaliveuk: Follow &amp; RT to #WIN a veggie cookbook, spiralizer &amp; Alive! #NVW16 T&amp;Cs apply: https://t.co/KZSrs8l8AS https://t.co/u2otXfWgq1","WIN,NVW16",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @feelaliveuk: Follow &amp; RT to enter for a chance to #WIN a veggie cookbook, spiralizer &amp; Alive! #NVW16 T&amp;https://t.co/nIjlfmqGAk https://t.co/DphMo6hhcv","WIN,NVW16",
Health and Fitness,Health and Fitness/Weight Loss,Check out the #WomanKind GIVEAWAY with @ww_uk on @celery_cupcakes blog!  https://t.co/dIsTU0vTZW,WomanKind,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @goodhealth: Learn how to make the ultimate stay-slim smoothie: https://t.co/OCDSQjhn9d https://t.co/CrmGH2HDwR,,
Health and Fitness,Health and Fitness/Disease Centres and Information,"@FormerScChief @macmillancancer That's amazing, well done! I've just got to about 45 this morning. 😊",,blush
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win our May #competition and get Nike #running shoes. RT &amp; Follow to enter our #prize #giveaway #realbuzzWin https://t.co/W5wLfs4ZtH,"Win,competition,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: It's #competition time! #Win Nike #running shoes in our #prize #giveaway. RT &amp; Follow to enter #realbuzzWin https://t.co/nZcQoyLYwR,"competition,Win,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,Get 25% off @MyproteinUK using code BIRTHDAY25 https://t.co/THvNR2x8iI  exp 2300 26/5,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MyproteinUK: We are counting down to our 12th birthday with LOADS of new products! 🎉

FOLLOW &amp; RT to win a birthday shaker &amp; box! https://t.co/wMlt7offqx",,tada
Health and Fitness,Health and Fitness/Mental Health,@alzscot  Do you benefit from the #CupcakeDay on 16th June?,CupcakeDay,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: It's #competition time! #Win Nike #running shoes in our #prize #giveaway. RT &amp; Follow to enter #realbuzzWin https://t.co/nZcQoyLYwR,"competition,Win,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/GV43tHOBWS,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @feelaliveuk: Follow &amp; RT to #WIN a veggie cookbook, spiralizer &amp; Alive! #NVW16 T&amp;Cs apply: https://t.co/KZSrs8l8AS https://t.co/u2otXfWgq1","WIN,NVW16",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@feelaliveuk Sounds good! I'm a vegetarian and need some inspiration!,,
Health and Fitness,Health and Fitness/Mental Health,@alzscot oh - absolutely - can you DM us info please as we are based in Edinburgh and would prefer to support you!,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/GV43tHOBWS,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Mental Health,@alzscot brilliant - we will organise something then #thankyou,thankyou,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @zannavandijk: GIVEAWAY! Win a £100 @MuscleFoodUK voucher. Just follow and retweet! 😘💕 https://t.co/HcpuzRVsUC,,"kissing_heart,two_hearts"
Health and Fitness,Health and Fitness/Dental Care,RT @WhiteWashLabs: It’s #WhiteWashWednesday &amp; this time we’re giving away this remineralising toothpaste &amp; toothbrush set – RT to #WIN https://t.co/jnjVlMwOFO,"WhiteWashWednesday,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/GV43tHOBWS,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@SalveoUK  #giveaway  #win 6 pack of gorgeous wine glasses,"giveaway,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MyproteinUK: We are counting down to our 12th birthday with LOADS of new products! 🎉

FOLLOW &amp; RT to win a birthday shaker &amp; box! https://t.co/n9XLND8dKI",,tada
Health and Fitness,Health and Fitness/Exercise and Nutrition,So excited to see these guys perform at @BirminghamPride this weekend! @JessicaLibertyX @wonderwomanshel @TonyLundon @KelliYoungX #LibertyX,LibertyX,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @WeHeartLiving: Win a healthy hair bundle! Follow and RT to enter. Info: https://t.co/DziQUbG70p #beauty #win #competition #hair https://t.co/8n6v7xjabM,"beauty,win,competition,hair",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: It's #giveaway time! Follow &amp; RT @SalveoUK to #win this 6 pack of gorgeous wine glasses! Ends 25/05/2016 23:59 https://t.co/Zark5pMmtZ,"giveaway,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MyproteinUK: We are counting down to our 12th birthday with LOADS of new products! 🎉

FOLLOW &amp; RT to win a birthday shaker &amp; box! https://t.co/n9XLND8dKI",,tada
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @WeHeartLiving: Win a healthy hair bundle! Follow and RT to enter. Info: https://t.co/DziQUbG70p #beauty #win #competition #hair https://t.co/8n6v7xjabM,"beauty,win,competition,hair",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@WeHeartLiving lovely. thanks for the chance,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #competition #giveaway. Follow &amp; RT to enter. #realbuzzWin #fitfam https://t.co/s1SXi7kIOU,"Win,running,competition,giveaway,realbuzzWin,fitfam",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/GV43tHOBWS,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: It's #competition time! #Win Nike #running shoes in our #prize #giveaway. RT &amp; Follow to enter #realbuzzWin https://t.co/nZcQoyLYwR,"competition,Win,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Mental Health,RT @alzheimerssoc: Meeting others who understand what they are going through can offer a lifeline to carers: https://t.co/YKIFFejo9P https://t.co/hWGAwHhpwa,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #competition #giveaway. Follow &amp; RT to enter. #realbuzzWin #fitfam https://t.co/s1SXi7kIOU,"Win,running,competition,giveaway,realbuzzWin,fitfam",
Health and Fitness,Health and Fitness/Addiction,RT @Drinkaware: Groping Isn't part of a great night out. Tag a mate whose great night always ends with… https://t.co/sFeE0HqBtK https://t.co/qxzAqXu9w8,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @911well: The only thing more frustrating than slanderers is those foolish enough to listen to them #CrissJami #Life #Hatred https://t.co/0foD25oNca,"CrissJami,Life,Hatred",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win our May #competition and get Nike #running shoes. RT &amp; Follow to enter our #prize #giveaway #realbuzzWin https://t.co/ZYNFYMTwFv,"Win,competition,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Dental Care,RT @WhiteWashLabs: It’s #WhiteWashWednesday &amp; this time we’re giving away this remineralising toothpaste &amp; toothbrush set – RT to #WIN https://t.co/jnjVlMwOFO,"WhiteWashWednesday,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: It's #giveaway time! Follow &amp; RT @SalveoUK to #win this 6 pack of gorgeous wine glasses! Ends 25/05/2016 23:59 https://t.co/Zark5pMmtZ,"giveaway,win",
Health and Fitness,Health and Fitness/Weight Loss,@LaurenGoodger Im doing a skydive to raise awareness&amp;funds for research into Neuroblastoma! Please help RT&amp;donate😘 https://t.co/lBSeXvhIRt,,kissing_heart
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: It's #competition time! #Win Nike #running shoes in our #prize #giveaway. RT &amp; Follow to enter #realbuzzWin https://t.co/GHp9f2UFDN,"competition,Win,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: It's #giveaway time! Follow &amp; RT @SalveoUK to #win this 6 pack of gorgeous wine glasses! Ends 25/05/2016 23:59 https://t.co/Zark5pMmtZ,"giveaway,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@SalveoUK Do love a nice wine glass ... thank you #giveaway #win,"giveaway,win",
Health and Fitness,Health and Fitness/Health Technology,@classpass what to do if I can't find timetable for @aquAllureUK classes? Do I have to call them to book?,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: It's #competition time! #Win Nike #running shoes in our #prize #giveaway. RT &amp; Follow to enter #realbuzzWin https://t.co/GHp9f2UFDN,"competition,Win,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win our May #competition and get Nike #running shoes. RT &amp; Follow to enter our #prize #giveaway #realbuzzWin https://t.co/ZYNFYMTwFv,"Win,competition,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Health Technology,@fitbit bought one of ur flex's for my dad but the strap was poor and has fallen off. Very disappointed 👎🏼,,-1
Health and Fitness,Health and Fitness/Men's Health,"@jameseacott @RunUltra_UK @MensHealthUK @kerryultra great, thank you for the help!",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/mdndscRHRm,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Mental Health,"RT @alzscot: Only 1 place left in our @ToughMudder team! Don't miss out, register at: https://t.co/x843KXBhW0 #ToughMudder2016 https://t.co/sDN4Jqt3aw",ToughMudder2016,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win our May #competition and get Nike #running shoes. RT &amp; Follow to enter our #prize #giveaway #realbuzzWin https://t.co/ZYNFYMTwFv,"Win,competition,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: It's #competition time! #Win Nike #running shoes in our #prize #giveaway. RT &amp; Follow to enter #realbuzzWin https://t.co/GHp9f2UFDN,"competition,Win,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/mdndscRHRm,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #competition #giveaway. Follow &amp; RT to enter. #realbuzzWin #fitfam https://t.co/s1SXi7kIOU,"Win,running,competition,giveaway,realbuzzWin,fitfam",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @bbchealth: Diabetes surgery 'missed by thousands' https://t.co/o8A7bDrBda,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @HandFmagazine: 'Mistakes are proof that you are trying' #NeverGiveUp #YouGotThis,"NeverGiveUp,YouGotThis",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @X_eLle_S: Get 25% off the ENTIRE @MyproteinUK range using code BIRTHDAY25 https://t.co/jVmz1U9bkJ  exp 2300 26/5,,
Health and Fitness,Health and Fitness/Weight Loss,RT @BooteaTeatox: Summer's only a season away 👙 Start working on your bikini body now! https://t.co/BdMC9TIDmY &amp; coupon code 5DISCOUNT https://t.co/hktllLQtIf,,bikini
Health and Fitness,Health and Fitness/Health Technology,Great ride! @bloodwise_uk training for @worldtriathlon with @FitbitUK @bbcgetinspired @TrailBoysMTB @Evadesport https://t.co/VtuFcV9Wyf,,
Health and Fitness,Health and Fitness/Disease Centres and Information,"RT @DiabetesUK: In 2011, the top 10 #T1D research priorities were identified. Prof Simon Heller fills us in on progress since then: https://t.co/7ojldy5XJ0",T1D,
Health and Fitness,Health and Fitness/Health Technology,New team kit @H4H_SR @HelpforHeroes @bloodwise_uk @hero_ride @FitbitUK @ScienceinSport @ArmySportsLTRY https://t.co/7pAqUK5EEC,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @GammaLabs: Energy. Focus. Endurance. #GFUEL ⚡️

https://t.co/OIlMhQXMse https://t.co/udF6jtLr8Y",GFUEL,zap
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #competition #giveaway. Follow &amp; RT to enter. #realbuzzWin #fitfam https://t.co/t0CkI3GDiL,"Win,running,competition,giveaway,realbuzzWin,fitfam",
Health and Fitness,Health and Fitness/Health Technology,Thanks @classpass -can't wait to try it out!,,
Health and Fitness,Health and Fitness/Mental Health,RT @rcpsych: The Quality Network for Prison Mental Health Services has published its first newsletter -https://t.co/kznCgbpMFH,,
Health and Fitness,Health and Fitness/Mental Health,RT @rcpsych: Annual Forum Quality Network for Forensic Mental Health Services (Low Secure) - 16 June '16. For programme &amp; info - https://t.co/eNtIn9iuEw,,
Health and Fitness,Health and Fitness/Disease Centres and Information,"I've #justsponsored jay1 fifaking, who's fundraising for @macmillancancer on @JustGiving. Donate now https://t.co/wtAeKHMONG",justsponsored,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: It's #giveaway time! Follow &amp; RT @SalveoUK to #win this 6 pack of gorgeous wine glasses! Ends 25/05/2016 23:59 https://t.co/Zark5pMmtZ,"giveaway,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MyproteinUK: Day 3 of our birthday giveaways!
RT to win our NEW protein cupcakes, 1kg of cake flavoured whey &amp; protein blondies 😍 https://t.co/ttyLp5ztSB",,heart_eyes
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: It's #giveaway time! Follow &amp; RT @SalveoUK to #win this 6 pack of gorgeous wine glasses! Ends 25/05/2016 23:59 https://t.co/Zark5pMmtZ,"giveaway,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@SalveoUK W😍W fab prize x thanks for the chance to #win 🍷🍷🍷,win,"heart_eyes,wine_glass,wine_glass,wine_glass"
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win our May #competition and get Nike #running shoes. RT &amp; Follow to enter our #prize #giveaway #realbuzzWin https://t.co/m6yD4Szx8i,"Win,competition,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Disease Centres and Information,Latest Blog 🖋 The Home Straight is up now! 😊 @runningblogs #OutRunMay @macmillancancer @UKRunChat #ukrunchat https://t.co/lUudD8YqR7,"OutRunMay,ukrunchat",blush
Health and Fitness,Health and Fitness/Exercise and Nutrition,Happy Birthday to the beautiful @CarlyRowena 🎈🎉 Thank you for being such an inspiration always! 😘,,"balloon,tada,kissing_heart"
Health and Fitness,Health and Fitness/Disease Centres and Information,I've passed the 50 mile mark this morning! 💪🏼 Just another 27ish to go now! 💚 @macmillancancer #outrunmay #ukrunchat,"outrunmay,ukrunchat","muscle,green_heart"
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: It's #competition time! #Win Nike #running shoes in our #prize #giveaway. RT &amp; Follow to enter #realbuzzWin https://t.co/TjOXVVdrqP,"competition,Win,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win our May #competition and get Nike #running shoes. RT &amp; Follow to enter our #prize #giveaway #realbuzzWin https://t.co/m6yD4Szx8i,"Win,competition,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/9P4xmsvOn0,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/i730somCKB,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/i730somCKB,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Weight Loss,RT @BooteaTeatox: Summer's only a season away 👙 Start working on your bikini body now! https://t.co/BdMC9TIDmY &amp; coupon code 5DISCOUNT https://t.co/hktllLQtIf,,bikini
Health and Fitness,Health and Fitness/Weight Loss,RT @thebodycoach: COMPETITION TIME 🎉😎 Retweet for your chance to win a limited edition water bottle and a signed copy of #Leanin15 💦📕 https://t.co/Pmpz02TvZc,Leanin15,"tada,sunglasses,sweat_drops,closed_book"
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: It's #giveaway time! Follow &amp; RT @SalveoUK to #win this 6 pack of gorgeous wine glasses! Ends 25/05/2016 23:59 https://t.co/Zark5pMmtZ,"giveaway,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@SalveoUK FAB #WIN AMAZING PRIZE,WIN,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/i730somCKB,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win our May #competition and get Nike #running shoes. RT &amp; Follow to enter our #prize #giveaway #realbuzzWin https://t.co/m6yD4Szx8i,"Win,competition,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @UKTeam_Optimum: 200 Followers to go! #RT &amp; follow for your chance to #win our Gold Standard stack! #Giveaway #GoldBCAA https://t.co/Lg6MXj9OJQ,"RT,win,Giveaway,GoldBCAA",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@UKTeam_Optimum congrats on 100K the #competition was a bit rigged like u choose a winner with 6k followers &amp; the rest have under 1k,competition,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @Herbalife: Keys to a successful #StrengthTraining plan: consistency, a well-balanced diet &amp; scheduled recovery days",StrengthTraining,
Health and Fitness,Health and Fitness/Health Technology,Shal i apply for @ninjawarrioruk @bloodwise_uk  @KeratoconusGB @Mygym_buddy @HelpforHeroes @ScienceinSport @FitbitUK,,
Health and Fitness,Health and Fitness/Health Technology,"RT @CurrentBody: Comp time! RT, follow &amp; tell us your beauty must have when travelling to WIN this le tanneur leather bag worth £60! https://t.co/MkjlVBfKxP",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @thebodycoach: Going live on Facebook in 5 mins 🔥 Come and join me for a HIIT workout,,fire
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @thebodycoach: COMPETITION TIME 🎉😎 Retweet for your chance to win a limited edition water bottle and a signed copy of #Leanin15 💦📕 https://t.co/Pmpz02TvZc,Leanin15,"tada,sunglasses,sweat_drops,closed_book"
Health and Fitness,Health and Fitness/Weight Loss,RT @thebodycoach: Going live on Facebook in 5 mins 🔥 Come and join me for a HIIT workout,,fire
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: It's #giveaway time! Follow &amp; RT @SalveoUK to #win this 6 pack of gorgeous wine glasses! Ends 25/05/2016 23:59 https://t.co/Zark5pMmtZ,"giveaway,win",
Health and Fitness,Health and Fitness/Health Technology,RT @netatmo: Welcome is on TV! Follow us &amp; RT to win your indoor security camera w/ face recognition #followRT #concours #iot https://t.co/72tdHP8XIQ,"followRT,concours,iot",
Health and Fitness,Health and Fitness/Health Technology,"RT @fitbit: If you ever feel bloated or achy, these anti-inflammatory foods could help. https://t.co/Sd9ww1l2G8 https://t.co/s4npqHDBxR",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MyproteinUK: Day 3 of our birthday giveaways!
RT to win our NEW protein cupcakes, 1kg of cake flavoured whey &amp; protein blondies 😍 https://t.co/SuaONqqitq",,heart_eyes
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: It's #giveaway time! Follow &amp; RT @SalveoUK to #win this 6 pack of gorgeous wine glasses! Ends 25/05/2016 23:59 https://t.co/Zark5pMmtZ,"giveaway,win",
Health and Fitness,Health and Fitness/Health Technology,RT @netatmo: Welcome is on TV! Follow us &amp; RT to win your indoor security camera w/ face recognition #followRT #concours #iot https://t.co/72tdHP8XIQ,"followRT,concours,iot",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #competition #giveaway. Follow &amp; RT to enter. #realbuzzWin #fitfam https://t.co/ZnQ4Bsicsr,"Win,running,competition,giveaway,realbuzzWin,fitfam",
Health and Fitness,Health and Fitness/Mental Health,RT @OUPPsychology: Good relationships help people live longer and happier lives via @mentalhealth  https://t.co/Xzz8llVfhq #MHAW16,MHAW16,
Health and Fitness,Health and Fitness/Aging,RT @gransnet: Follow and RT by 9AM 19.5.16 to #win this gorgeous Edinburgh Woollen Mill shopper bag worth £20 #winitwednesday https://t.co/JPjudGyA27,"win,winitwednesday",
Health and Fitness,Health and Fitness/Mental Health,Really looking forward to this. Lots of money to raise for a great charity @MindCharity #royalparkshalf #ukrunchat  https://t.co/OqulLGd3Ir,"royalparkshalf,ukrunchat",
Health and Fitness,Health and Fitness/Weight Loss,RT @thebodycoach: COMPETITION TIME 🎉😎 Retweet for your chance to win a limited edition water bottle and a signed copy of #Leanin15 💦📕 https://t.co/Pmpz02TvZc,Leanin15,"tada,sunglasses,sweat_drops,closed_book"
Health and Fitness,Health and Fitness/Mental Health,"RT @richardbranson: Dementia can be scary, but you don’t have to face it alone. Talk to @alzheimerssoc #DAW2016 https://t.co/Do1pxcl8qD https://t.co/CZxnjUbBtl",DAW2016,
Health and Fitness,Health and Fitness/Mental Health,RT @alzscot: Get set for Dementia Awareness Week in Scotland! Find out how to get involved https://t.co/yTcYNmNUzh #DAW2016 https://t.co/v8sdMUy4sK,DAW2016,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: It's #competition time! #Win Nike #running shoes in our #prize #giveaway. RT &amp; Follow to enter #realbuzzWin https://t.co/OVwbPChxXB,"competition,Win,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win our May #competition and get Nike #running shoes. RT &amp; Follow to enter our #prize #giveaway #realbuzzWin https://t.co/VUqEePGqUl,"Win,competition,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Health Technology,"@madcyclist8008 @H4H_SR @bloodwise_uk @hero_ride @FitbitUK @ScienceinSport normally I would agree, but.... Triathlon is the exception😃",,smiley
Health and Fitness,Health and Fitness/Disease Centres and Information,24.54 miles to go! @macmillancancer @UKRunChat #ukrunchat #OutRunMay,"ukrunchat,OutRunMay",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @MensHealthMag: What's the best workout for you: https://t.co/jR9EHaSkPv https://t.co/P8bElaxVjo,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: It's #giveaway time again! RT &amp; Follow @SalveoUK to #win this amazing #SpaSecrets double pack! Ends 01/06 23:59 https://t.co/QQ3Pd9HQfu,"giveaway,win,SpaSecrets",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@SalveoUK Fantastic giveaway 👌🏼 fingers crossed 🙏🏻,,"ok_hand,pray"
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #giveaway! Enter our #competition before it's too late! #fitfam #realbuzzWin https://t.co/spqlo1v0EK,"Win,running,giveaway,competition,fitfam,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @TheProteinWorks: DREAM JOBS at TPW™
We've some unbelievable job roles!
If you live in the North West &amp; are passionate about nutrition
https://t.co/Y0blDdTc0O",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MyproteinUK: Day 3 of our birthday countdown! 🎉

FOLLOW &amp; RT to win a bundle of our protein chocolate, skinny cookies &amp; more! 😍 https://t.co/hJlifRqFTi",,"tada,heart_eyes"
